# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1179515	1182577	+	WP_018307897.1	WP_018307897.1		hypothetical protein			A39U_RS0105705	3063	1020	
gene	tRNA	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1182629	1182705	+							A39U_RS0105710	77		
tRNA		GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1182629	1182705	+				tRNA-Arg			A39U_RS0105710	77		anticodon=ACG
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1183064	1184326	-							A39U_RS0105715	1263		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1183064	1184326	-	WP_010666357.1	WP_010666357.1		MFS transporter			A39U_RS0105715	1263	420	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1184387	1185310	-							A39U_RS0105720	924		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1184387	1185310	-	WP_010666356.1	WP_010666356.1		DMT family transporter			A39U_RS0105720	924	307	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1185461	1186228	-							A39U_RS0105725	768		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1185461	1186228	-	WP_010666355.1	WP_010666355.1		LamB/YcsF family protein			A39U_RS0105725	768	255	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1186225	1187235	-							A39U_RS0105730	1011		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1186225	1187235	-	WP_010666354.1	WP_010666354.1		biotin-dependent carboxyltransferase family protein			A39U_RS0105730	1011	336	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1187232	1187945	-					pxpB		A39U_RS0105735	714		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1187232	1187945	-	WP_026200031.1	WP_026200031.1		5-oxoprolinase subunit PxpB	pxpB		A39U_RS0105735	714	237	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1188302	1189057	+							A39U_RS0105740	756		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1188302	1189057	+	WP_010666352.1	WP_010666352.1		SDR family oxidoreductase			A39U_RS0105740	756	251	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1189063	1189500	+							A39U_RS0105745	438		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1189063	1189500	+	WP_010666351.1	WP_010666351.1		biotin/lipoyl-binding protein			A39U_RS0105745	438	145	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1189497	1190864	+					accC		A39U_RS0105750	1368		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1189497	1190864	+	WP_010666350.1	WP_010666350.1		acetyl-CoA carboxylase biotin carboxylase subunit	accC		A39U_RS0105750	1368	455	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1190861	1191319	+							A39U_RS0105755	459		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1190861	1191319	+	WP_010666349.1	WP_010666349.1		acetyl-CoA carboxylase biotin carboxyl carrier protein			A39U_RS0105755	459	152	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1191654	1192856	-							A39U_RS0105760	1203		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1191654	1192856	-	WP_018307898.1	WP_018307898.1		pyridoxal phosphate-dependent aminotransferase			A39U_RS0105760	1203	400	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1193171	1195630	-							A39U_RS0105765	2460		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1193171	1195630	-	WP_018307899.1	WP_018307899.1		TonB-dependent receptor			A39U_RS0105765	2460	819	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1195971	1196909	+							A39U_RS0105770	939		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1195971	1196909	+	WP_010666749.1	WP_010666749.1		LysR family transcriptional regulator			A39U_RS0105770	939	312	
gene	pseudogene	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1197146	1197909	+							A39U_RS19040	764		pseudo
CDS	without_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1197146	1197909	+				IS5 family transposase			A39U_RS19040	764		pseudo
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1198020	1199450	+							A39U_RS0105785	1431		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1198020	1199450	+	WP_010666442.1	WP_010666442.1		hypothetical protein			A39U_RS0105785	1431	476	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1199513	1201831	+							A39U_RS0105790	2319		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1199513	1201831	+	WP_010666443.1	WP_010666443.1		patatin-like phospholipase family protein			A39U_RS0105790	2319	772	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1202343	1203362	-					ilvC		A39U_RS0105795	1020		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1202343	1203362	-	WP_010666977.1	WP_010666977.1		ketol-acid reductoisomerase	ilvC		A39U_RS0105795	1020	339	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1203430	1203924	-					ilvN		A39U_RS0105800	495		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1203430	1203924	-	WP_026200032.1	WP_026200032.1		acetolactate synthase small subunit	ilvN		A39U_RS0105800	495	164	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1204143	1205957	-					ilvB		A39U_RS0105805	1815		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1204143	1205957	-	WP_010667946.1	WP_010667946.1		biosynthetic-type acetolactate synthase large subunit	ilvB		A39U_RS0105805	1815	604	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1206120	1207082	-					miaA		A39U_RS0105810	963		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1206120	1207082	-	WP_026200034.1	WP_026200034.1		tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	miaA		A39U_RS0105810	963	320	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1207130	1208026	+					serB		A39U_RS0105815	897		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1207130	1208026	+	WP_010668699.1	WP_010668699.1		phosphoserine phosphatase SerB	serB		A39U_RS0105815	897	298	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1208120	1209367	+							A39U_RS0105820	1248		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1208120	1209367	+	WP_010668700.1	WP_010668700.1		sodium:proton antiporter			A39U_RS0105820	1248	415	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1209530	1209871	-							A39U_RS0105825	342		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1209530	1209871	-	WP_010668701.1	WP_010668701.1		DUF2322 family protein			A39U_RS0105825	342	113	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1210905	1211333	+							A39U_RS0105835	429		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1210905	1211333	+	WP_010666156.1	WP_010666156.1		hypothetical protein			A39U_RS0105835	429	142	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1211703	1213277	+							A39U_RS0105840	1575		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1211703	1213277	+	WP_010666157.1	WP_010666157.1		2-isopropylmalate synthase			A39U_RS0105840	1575	524	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1214006	1214362	+							A39U_RS0105845	357		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1214006	1214362	+	WP_026200036.1	WP_026200036.1		DUF1636 domain-containing protein			A39U_RS0105845	357	118	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1214364	1214654	+							A39U_RS0105850	291		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1214364	1214654	+	WP_010666159.1	WP_010666159.1		hypothetical protein			A39U_RS0105850	291	96	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1214768	1215937	+					cobG		A39U_RS0105860	1170		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1214768	1215937	+	WP_026200037.1	WP_026200037.1		precorrin-3B synthase	cobG		A39U_RS0105860	1170	389	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1215921	1216550	+							A39U_RS0105865	630		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1215921	1216550	+	WP_010666162.1	WP_010666162.1		precorrin-8X methylmutase			A39U_RS0105865	630	209	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1216555	1217301	+							A39U_RS0105870	747		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1216555	1217301	+	WP_010666163.1	WP_010666163.1		precorrin-2 C(20)-methyltransferase			A39U_RS0105870	747	248	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1217298	1218035	+					cobJ		A39U_RS0105875	738		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1217298	1218035	+	WP_018307905.1	WP_018307905.1		precorrin-3B C(17)-methyltransferase	cobJ		A39U_RS0105875	738	245	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1218011	1218760	-							A39U_RS0105880	750		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1218011	1218760	-	WP_010668374.1	WP_010668374.1		cobalt-precorrin-6A reductase			A39U_RS0105880	750	249	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1218759	1219940	+							A39U_RS0105885	1182		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1218759	1219940	+	WP_010668373.1	WP_010668373.1		bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase			A39U_RS0105885	1182	393	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1219937	1220305	+							A39U_RS0105890	369		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1219937	1220305	+	WP_010668372.1	WP_010668372.1		cobalamin biosynthesis protein			A39U_RS0105890	369	122	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1220302	1221090	+					cobM		A39U_RS0105895	789		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1220302	1221090	+	WP_010668371.1	WP_010668371.1		precorrin-4 C(11)-methyltransferase	cobM		A39U_RS0105895	789	262	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1221161	1221919	+							A39U_RS0105900	759		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1221161	1221919	+	WP_010668370.1	WP_010668370.1		precorrin-6A synthase (deacetylating)			A39U_RS0105900	759	252	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1222323	1223723	+							A39U_RS0105905	1401		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1222323	1223723	+	WP_010668369.1	WP_010668369.1		hypothetical protein			A39U_RS0105905	1401	466	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1223962	1224189	+							A39U_RS0105910	228		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1223962	1224189	+	WP_010668368.1	WP_010668368.1		hypothetical protein			A39U_RS0105910	228	75	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1224277	1224501	+							A39U_RS0105915	225		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1224277	1224501	+	WP_132012021.1	WP_132012021.1		hypothetical protein			A39U_RS0105915	225	74	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1224731	1225663	-							A39U_RS0105920	933		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1224731	1225663	-	WP_010668573.1	WP_010668573.1		L,D-transpeptidase			A39U_RS0105920	933	310	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1226028	1227767	-							A39U_RS0105925	1740		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1226028	1227767	-	WP_010668572.1	WP_010668572.1		dihydrolipoyl dehydrogenase			A39U_RS0105925	1740	579	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1227938	1229170	-					odhB		A39U_RS0105930	1233		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1227938	1229170	-	WP_010668571.1	WP_010668571.1		2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	odhB		A39U_RS0105930	1233	410	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1229367	1232225	-							A39U_RS0105935	2859		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1229367	1232225	-	WP_018307907.1	WP_018307907.1		2-oxoglutarate dehydrogenase E1 component			A39U_RS0105935	2859	952	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1232515	1233744	-							A39U_RS0105945	1230		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1232515	1233744	-	WP_018307909.1	WP_018307909.1		cell division protein ZapE			A39U_RS0105945	1230	409	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1233908	1234264	+							A39U_RS0105950	357		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1233908	1234264	+	WP_018307910.1	WP_018307910.1		carboxymuconolactone decarboxylase family protein			A39U_RS0105950	357	118	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1234948	1235217	-							A39U_RS0105955	270		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1234948	1235217	-	WP_010668576.1	WP_010668576.1		helix-turn-helix domain-containing protein			A39U_RS0105955	270	89	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1235217	1235432	-							A39U_RS0105960	216		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1235217	1235432	-	WP_010668575.1	WP_010668575.1		hypothetical protein			A39U_RS0105960	216	71	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1235701	1236402	+							A39U_RS0105965	702		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1235701	1236402	+	WP_010668574.1	WP_010668574.1		LexA family transcriptional regulator			A39U_RS0105965	702	233	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1236552	1240070	-					addA		A39U_RS0105970	3519		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1236552	1240070	-	WP_018307911.1	WP_018307911.1		double-strand break repair helicase AddA	addA		A39U_RS0105970	3519	1172	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1240243	1243326	-					addB		A39U_RS0105975	3084		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1240243	1243326	-	WP_031941642.1	WP_031941642.1		double-strand break repair protein AddB	addB		A39U_RS0105975	3084	1027	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1243379	1243843	-					tsaE		A39U_RS0105980	465		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1243379	1243843	-	WP_010667802.1	WP_010667802.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tsaE		A39U_RS0105980	465	154	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1243976	1244410	-							A39U_RS0105985	435		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1243976	1244410	-	WP_010667801.1	WP_010667801.1		flagellar FliJ family protein			A39U_RS0105985	435	144	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1244449	1245858	-					fliI		A39U_RS0105990	1410		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1244449	1245858	-	WP_010667800.1	WP_010667800.1		flagellar protein export ATPase FliI	fliI		A39U_RS0105990	1410	469	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1246043	1246777	+							A39U_RS0105995	735		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1246043	1246777	+	WP_010667799.1	WP_010667799.1		response regulator transcription factor			A39U_RS0105995	735	244	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1246871	1247674	-					thiD		A39U_RS0106000	804		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1246871	1247674	-	WP_018307913.1	WP_018307913.1		bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD		A39U_RS0106000	804	267	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1247677	1249035	-							A39U_RS0106005	1359		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1247677	1249035	-	WP_026200039.1	WP_026200039.1		phosphoglucosamine mutase			A39U_RS0106005	1359	452	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1249145	1250578	-					pyk		A39U_RS0106010	1434		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1249145	1250578	-	WP_010667232.1	WP_010667232.1		pyruvate kinase	pyk		A39U_RS0106010	1434	477	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1250692	1251822	-							A39U_RS0106015	1131		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1250692	1251822	-	WP_010667233.1	WP_010667233.1		RNA-binding protein			A39U_RS0106015	1131	376	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1251954	1252343	-							A39U_RS0106020	390		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1251954	1252343	-	WP_010667234.1	WP_010667234.1		DsrE family protein			A39U_RS0106020	390	129	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1252336	1253109	-					moeB		A39U_RS0106025	774		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1252336	1253109	-	WP_010667235.1	WP_010667235.1		molybdopterin-synthase adenylyltransferase MoeB	moeB		A39U_RS0106025	774	257	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1253250	1253867	+							A39U_RS0106035	618		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1253250	1253867	+	WP_010667236.1	WP_010667236.1		DUF2939 domain-containing protein			A39U_RS0106035	618	205	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1254035	1254262	-							A39U_RS0106040	228		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1254035	1254262	-	WP_010667237.1	WP_010667237.1		DUF3126 family protein			A39U_RS0106040	228	75	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1254889	1255182	+							A39U_RS0106045	294		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1254889	1255182	+	WP_010667238.1	WP_010667238.1		hypothetical protein			A39U_RS0106045	294	97	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1255268	1255759	-							A39U_RS0106050	492		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1255268	1255759	-	WP_010667239.1	WP_010667239.1		hypothetical protein			A39U_RS0106050	492	163	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1256362	1256907	+							A39U_RS0106060	546		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1256362	1256907	+	WP_010667242.1	WP_010667242.1		DUF4142 domain-containing protein			A39U_RS0106060	546	181	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1257060	1258127	-					hrcA		A39U_RS0106065	1068		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1257060	1258127	-	WP_048874178.1	WP_048874178.1		heat-inducible transcriptional repressor HrcA	hrcA		A39U_RS0106065	1068	355	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1258481	1259479	+							A39U_RS0106070	999		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1258481	1259479	+	WP_010667244.1	WP_010667244.1		aldo/keto reductase			A39U_RS0106070	999	332	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1259601	1260203	+					rdgB		A39U_RS0106075	603		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1259601	1260203	+	WP_010667245.1	WP_010667245.1		RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	rdgB		A39U_RS0106075	603	200	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1260379	1261269	-					rpoH		A39U_RS0106080	891		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1260379	1261269	-	WP_010669247.1	WP_010669247.1		RNA polymerase sigma factor RpoH	rpoH		A39U_RS0106080	891	296	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1261520	1262497	-							A39U_RS0106085	978		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1261520	1262497	-	WP_010667277.1	WP_010667277.1		RluA family pseudouridine synthase			A39U_RS0106085	978	325	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1262545	1262892	+							A39U_RS0106090	348		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1262545	1262892	+	WP_010667276.1	WP_010667276.1		hypothetical protein			A39U_RS0106090	348	115	
gene	tRNA	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1262974	1263049	+							A39U_RS0106095	76		
tRNA		GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1262974	1263049	+				tRNA-Glu			A39U_RS0106095	76		anticodon=CTC
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1263403	1263540	+							A39U_RS19500	138		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1263403	1263540	+	WP_155877617.1	WP_155877617.1		hypothetical protein			A39U_RS19500	138	45	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1263699	1264169	-							A39U_RS19505	471		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1263699	1264169	-	WP_132012019.1	WP_132012019.1		hypothetical protein			A39U_RS19505	471	156	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1264166	1274905	-							A39U_RS0106105	10740		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1264166	1274905	-	WP_018307916.1	WP_018307916.1		hemagglutinin repeat-containing protein			A39U_RS0106105	10740	3579	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1274905	1276689	-							A39U_RS0106110	1785		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1274905	1276689	-	WP_010667451.1	WP_010667451.1		ShlB/FhaC/HecB family hemolysin secretion/activation protein			A39U_RS0106110	1785	594	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1276740	1277312	-							A39U_RS0106115	573		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1276740	1277312	-	WP_018307917.1	WP_018307917.1		invasion associated locus B family protein			A39U_RS0106115	573	190	
gene	pseudogene	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1277717	1278605	+							A39U_RS18020	889		pseudo
